epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.590148,0.8130,0.500151,0.8714,1.0e-03,2.1
2,0.452895,0.8844,0.432403,0.8885,1.0e-03,1.0
3,0.407426,0.8943,0.406977,0.8956,9.9e-04,1.0
4,0.384903,0.8968,0.398332,0.8957,9.8e-04,1.0
5,0.370001,0.8979,0.393346,0.8960,9.8e-04,1.0
6,0.358505,0.8984,0.393720,0.8942,9.7e-04,1.0
7,0.348237,0.8991,0.398063,0.8927,9.5e-04,1.0
8,0.339549,0.9003,0.399643,0.8911,9.4e-04,1.0
9,0.330914,0.9017,0.402486,0.8896,9.2e-04,1.0
10,0.322193,0.9030,0.409519,0.8859,9.1e-04,1.0
11,0.314008,0.9041,0.411492,0.8852,8.9e-04,1.0
12,0.305538,0.9064,0.418573,0.8838,8.7e-04,1.0
13,0.296389,0.9082,0.428742,0.8803,8.4e-04,1.0
14,0.288134,0.9107,0.441109,0.8806,8.2e-04,1.0
15,0.279360,0.9131,0.444407,0.8739,8.0e-04,1.0
