generation,best_fitness,mean_fitness,median_fitness,sigma,time_s
1,13.38,12.00,12.03,0.4992,132.7
2,15.16,13.31,13.36,0.5050,130.5
3,12.08,11.15,11.11,0.5073,130.5
4,11.78,10.89,10.93,0.5142,130.5
5,12.39,11.47,11.53,0.5221,130.5
6,11.45,10.68,10.70,0.5342,130.5
7,12.09,11.29,11.33,0.5436,130.5
8,13.88,12.82,12.83,0.5507,130.5
9,13.08,12.33,12.42,0.5550,130.5
10,13.62,12.68,12.70,0.5566,130.5
11,12.95,11.98,11.97,0.5676,130.5
12,12.22,11.64,11.64,0.5748,130.5
13,12.47,11.94,11.92,0.5867,130.5
14,12.59,11.67,11.66,0.6003,130.5
15,12.52,11.70,11.72,0.6091,130.5
16,10.78,9.80,9.78,0.6221,130.5
17,14.41,13.42,13.45,0.6292,130.5
18,11.69,10.94,10.95,0.6382,130.5
19,14.64,13.75,13.73,0.6501,130.5
20,13.97,13.19,13.22,0.6572,130.5
21,12.59,11.28,11.27,0.6745,130.5
22,12.36,11.61,11.64,0.6820,130.5
23,12.22,11.47,11.47,0.6968,130.5
24,11.09,10.29,10.30,0.7153,130.5
25,13.44,12.36,12.34,0.7278,130.5
26,13.31,12.22,12.23,0.7401,130.5
27,12.98,12.00,12.02,0.7490,130.5
28,13.58,12.67,12.67,0.7627,130.5
29,11.75,11.06,11.06,0.7777,130.5
30,13.23,12.47,12.48,0.7984,130.5
31,12.47,11.61,11.61,0.8067,130.5
32,12.27,11.26,11.23,0.8218,130.5
33,12.81,12.21,12.23,0.8348,130.5
34,12.56,11.65,11.62,0.8494,130.4
35,13.33,12.32,12.35,0.8763,130.5
36,13.61,12.82,12.82,0.9031,130.5
37,14.23,13.54,13.55,0.9149,130.5
38,12.08,11.42,11.43,0.9251,130.5
39,13.25,12.26,12.25,0.9346,130.5
40,12.89,12.18,12.21,0.9479,130.5
41,13.19,12.51,12.50,0.9624,130.5
42,11.61,10.73,10.75,0.9825,130.5
43,12.61,11.75,11.76,1.0006,130.5
44,12.83,11.98,12.00,1.0128,130.5
45,13.14,12.38,12.41,1.0391,130.5
46,13.86,13.15,13.19,1.0626,130.5
47,13.20,12.47,12.47,1.0784,130.5
48,13.61,12.90,12.91,1.1072,130.5
49,14.53,13.89,13.89,1.1208,130.5
50,11.86,11.10,11.14,1.1340,130.5
51,13.30,12.38,12.39,1.1521,130.5
52,15.02,14.30,14.31,1.1677,130.5
53,13.09,12.41,12.41,1.1877,130.5
54,11.69,10.95,10.95,1.2158,130.5
55,12.72,12.04,12.06,1.2439,130.5
56,12.62,11.62,11.61,1.2845,130.5
57,13.94,13.13,13.09,1.3127,130.5
58,12.44,11.72,11.73,1.3632,130.5
59,12.41,11.32,11.33,1.4001,130.5
60,12.36,11.44,11.44,1.4331,130.5
61,12.92,12.05,12.05,1.4661,130.5
62,13.09,12.05,12.11,1.4888,130.5
63,12.95,12.12,12.12,1.5029,130.5
64,13.62,12.71,12.72,1.5277,130.5
65,12.80,11.98,12.02,1.5592,130.5
66,14.84,14.02,14.02,1.5843,130.5
67,12.33,11.47,11.48,1.6091,130.5
68,14.16,13.42,13.44,1.6367,130.5
69,13.12,12.29,12.31,1.6575,130.5
70,14.42,13.58,13.60,1.6884,130.5
71,11.95,11.30,11.34,1.7191,130.5
72,13.98,13.18,13.20,1.7501,130.5
73,13.17,12.33,12.32,1.8094,130.6
74,12.00,11.02,11.03,1.8307,130.5
75,12.70,11.98,12.01,1.8480,130.5
76,12.41,11.50,11.49,1.8656,130.5
77,12.91,11.93,11.95,1.8966,130.5
78,12.41,11.72,11.75,1.9556,130.5
79,12.69,12.12,12.12,2.0130,130.5
80,12.48,11.71,11.73,2.0713,130.5
81,11.80,10.99,11.00,2.1368,130.5
82,13.52,13.03,13.08,2.1960,130.5
83,11.33,10.71,10.70,2.2413,130.5
84,12.61,11.77,11.77,2.3048,130.5
