iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
0,,,,,,1.0e-04,21.22,0.22,0.0
1,24.25,18.7836,35.7172,1.4324,0.3798,1.0e-04,,,5.7
2,24.79,19.2180,16.2965,9.2897,0.3854,1.0e-04,,,5.4
3,25.13,19.5285,18.7317,15.0026,0.3879,1.0e-04,,,5.4
4,25.44,20.0109,21.6063,18.3875,0.3701,1.0e-04,,,5.4
5,24.18,18.6379,22.8865,20.3374,0.3864,1.0e-04,,,5.4
6,24.43,19.0762,24.8233,21.7234,0.3656,1.0e-04,,,5.4
7,24.25,19.0160,27.2229,22.6627,0.3576,1.0e-04,,,5.4
8,24.05,18.7133,27.9719,23.3111,0.3665,1.0e-04,,,5.4
9,25.33,19.9160,30.4364,23.5191,0.3608,1.0e-04,,,5.4
10,24.75,19.4637,29.7192,23.7062,0.3581,1.0e-04,21.30,0.18,5.4
11,25.59,20.1816,29.9272,23.6552,0.3631,1.0e-04,,,5.4
12,23.29,18.2027,28.5080,23.6932,0.3395,1.0e-04,,,5.4
13,24.85,19.7734,29.6795,23.8084,0.3496,1.0e-04,,,5.4
14,23.74,18.6762,28.7357,23.8274,0.3296,1.0e-04,,,5.4
15,24.15,19.2609,28.5242,24.0808,0.3018,1.0e-04,,,5.4
16,23.95,19.0637,30.0791,24.0469,0.3109,1.0e-04,,,5.3
17,23.50,18.7184,28.3670,24.0264,0.2999,1.0e-04,,,5.3
18,23.88,19.0352,29.3387,24.1388,0.3056,1.0e-04,,,5.4
19,23.83,18.9602,28.9615,24.0139,0.3195,1.0e-04,,,5.3
20,24.96,19.7949,28.5341,23.9217,0.3502,1.0e-04,20.12,0.10,5.4
21,23.20,18.2836,28.7059,24.1533,0.3244,1.0e-04,,,5.3
22,25.00,19.8098,30.2913,23.9449,0.3472,1.0e-04,,,5.4
23,23.75,18.8215,28.2752,23.9769,0.3050,1.0e-04,,,5.3
24,24.33,19.3480,29.2756,23.9934,0.3333,1.0e-04,,,5.4
25,23.25,18.2430,27.1207,23.9017,0.3409,1.0e-04,,,5.3
26,23.59,18.6047,28.8488,24.0400,0.3319,1.0e-04,,,5.3
27,25.00,19.7602,29.8985,23.8565,0.3522,1.0e-04,,,5.4
28,25.21,19.8199,30.3675,24.0737,0.3731,1.0e-04,,,5.4
29,24.89,19.2883,30.9131,24.0694,0.3889,1.0e-04,,,5.4
30,24.60,19.0793,29.4775,23.9763,0.3902,1.0e-04,22.25,0.26,5.4
31,25.06,19.5113,30.1013,23.6252,0.3790,1.0e-04,,,5.3
32,25.12,19.2539,30.3684,23.5690,0.3954,1.0e-04,,,5.4
33,25.51,19.7738,29.2372,23.4140,0.4008,1.0e-04,,,5.4
34,24.54,18.9520,27.9596,23.7132,0.3853,1.0e-04,,,5.4
35,25.12,19.4523,29.8612,23.4770,0.3924,1.0e-04,,,5.4
36,25.15,19.5117,29.1053,23.2635,0.3847,1.0e-04,,,5.4
37,25.87,20.2203,29.8095,23.1786,0.3810,1.0e-04,,,5.4
38,24.96,19.5656,30.5274,23.8142,0.3725,1.0e-04,,,5.4
39,25.06,19.6570,29.0236,23.7237,0.3782,1.0e-04,,,5.4
40,23.90,18.6543,27.5140,23.5627,0.3634,1.0e-04,22.39,0.21,5.4
41,24.84,19.4109,28.6412,23.3286,0.3703,1.0e-04,,,5.4
42,24.99,19.6824,29.3116,23.6586,0.3694,1.0e-04,,,5.4
43,23.98,18.7660,28.8597,23.7050,0.3690,1.0e-04,,,5.4
44,25.22,20.0109,30.0113,23.7368,0.3643,1.0e-04,,,5.4
