epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
1,27.369445,0.215875,-1.096752,14.089566,1.0e-03,136.5
2,11.493688,0.196911,-1.181958,9.292848,1.0e-03,86.4
3,7.690192,0.307196,-2.992017,6.659890,1.0e-03,85.7
4,6.047347,0.350469,-3.170201,5.530283,1.0e-03,86.8
5,5.328201,0.376773,-3.228306,5.058970,1.0e-03,85.7
6,4.865606,0.391466,-3.267312,4.592639,1.0e-03,84.8
7,4.509865,0.400060,-3.299060,4.329774,1.0e-03,85.6
8,4.225958,0.405552,-3.327023,4.017108,1.0e-03,85.6
9,3.995987,0.409417,-3.352922,3.926799,1.0e-03,85.9
10,3.795087,0.412558,-3.372801,3.696712,9.9e-04,86.4
11,3.620183,0.414932,-3.393479,3.489302,9.9e-04,86.9
12,3.471352,0.416359,-3.418537,3.298953,9.9e-04,86.9
13,3.343879,0.417069,-3.435262,3.258543,9.9e-04,86.0
14,3.216459,0.416163,-3.456243,3.181464,9.9e-04,87.2
15,3.109886,0.415874,-3.471222,2.970768,9.9e-04,86.9
16,3.022177,0.415257,-3.480245,2.914872,9.8e-04,86.9
17,2.932694,0.414314,-3.483715,2.810836,9.8e-04,86.8
18,2.853757,0.413591,-3.490450,2.807680,9.8e-04,86.2
19,2.790108,0.412715,-3.499450,2.723921,9.8e-04,86.8
20,2.725404,0.411452,-3.506245,2.626982,9.8e-04,86.1
21,2.669762,0.410023,-3.511823,2.569710,9.7e-04,87.7
22,2.618154,0.408861,-3.517340,2.591311,9.7e-04,86.0
23,2.574552,0.407971,-3.522403,2.486456,9.7e-04,86.8
24,2.529144,0.406834,-3.527089,2.446448,9.7e-04,86.8
25,2.494435,0.405916,-3.533013,2.443218,9.6e-04,86.9
26,2.462762,0.405691,-3.538040,2.415714,9.6e-04,86.4
27,2.428810,0.405823,-3.545174,2.429894,9.6e-04,84.7
28,2.408726,0.407297,-3.554063,2.378839,9.5e-04,85.6
29,2.397585,0.405645,-3.546494,2.420524,9.5e-04,85.6
30,2.370419,0.404330,-3.550828,2.331662,9.5e-04,85.6
31,2.355817,0.405684,-3.560525,2.361390,9.4e-04,85.6
32,2.331350,0.401803,-3.560207,2.331687,9.4e-04,85.6
33,2.310849,0.401194,-3.561908,2.318527,9.3e-04,85.6
34,2.289272,0.400511,-3.565760,2.193849,9.3e-04,84.8
35,2.269657,0.401247,-3.573969,2.227325,9.3e-04,86.9
36,2.254908,0.400982,-3.578566,2.219726,9.2e-04,85.7
37,2.234721,0.401253,-3.585497,2.165033,9.2e-04,86.8
38,2.229655,0.401847,-3.588171,2.268715,9.1e-04,86.8
39,2.210688,0.401737,-3.595670,2.169263,9.1e-04,87.2
40,2.194973,0.399591,-3.598400,2.150960,9.1e-04,86.8
41,2.182636,0.399035,-3.598712,2.127069,9.0e-04,86.1
42,2.169762,0.398695,-3.602001,2.120981,9.0e-04,86.8
43,2.161546,0.399746,-3.605838,2.089704,8.9e-04,86.9
44,2.152013,0.402110,-3.611618,2.082491,8.9e-04,85.8
45,2.134124,0.401802,-3.616245,2.100471,8.8e-04,85.7
46,2.129915,0.403586,-3.619625,2.076500,8.8e-04,85.6
47,2.118216,0.403338,-3.621453,2.108462,8.7e-04,85.7
48,2.111681,0.403727,-3.624552,2.099711,8.7e-04,84.8
49,2.106400,0.403511,-3.624046,2.090881,8.6e-04,86.4
50,2.094023,0.403898,-3.624571,2.028248,8.6e-04,84.8
51,2.086595,0.405265,-3.628385,2.008768,8.5e-04,85.6
52,2.083084,0.404736,-3.627631,1.982419,8.4e-04,85.6
53,2.068748,0.405139,-3.630595,1.996276,8.4e-04,86.1
54,2.067515,0.405380,-3.633102,2.000335,8.3e-04,85.6
55,2.052533,0.406235,-3.636413,2.019310,8.3e-04,84.8
56,2.044483,0.407920,-3.642216,1.984137,8.2e-04,85.6
57,2.041961,0.407239,-3.645798,1.983484,8.1e-04,85.6
58,2.029089,0.407413,-3.647931,1.971981,8.1e-04,85.6
59,2.025117,0.406484,-3.647374,1.965152,8.0e-04,85.6
60,2.015743,0.406421,-3.648928,1.954856,8.0e-04,85.6
61,2.009909,0.407038,-3.653352,1.999269,7.9e-04,85.8
62,2.003336,0.406110,-3.652989,1.997226,7.8e-04,85.3
63,1.995413,0.405577,-3.653047,1.923715,7.8e-04,86.4
64,1.988910,0.406069,-3.654247,1.947405,7.7e-04,85.6
65,1.982986,0.405644,-3.655799,1.965424,7.6e-04,84.8
66,1.976073,0.406105,-3.659364,1.918764,7.6e-04,85.6
67,1.969163,0.405396,-3.660288,1.928621,7.5e-04,85.6
68,1.965226,0.405331,-3.661792,1.888945,7.4e-04,85.6
69,1.959169,0.405627,-3.666195,1.919316,7.4e-04,84.8
70,1.955188,0.404695,-3.663128,1.939084,7.3e-04,87.0
71,1.949037,0.403592,-3.663404,1.927863,7.2e-04,86.9
72,1.941344,0.404194,-3.665686,1.880198,7.2e-04,86.1
73,1.934237,0.403280,-3.667202,1.856694,7.1e-04,86.8
74,1.931270,0.404309,-3.669160,1.994056,7.0e-04,86.8
75,1.926998,0.403487,-3.669894,1.874580,6.9e-04,86.8
