epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
1,144.239740,143.823857,0.415882,93.067834,91.986571,1.081263,2.0e-03,4.5
2,70.577684,69.336064,1.241619,72.378093,70.512786,1.865307,2.0e-03,4.2
3,63.030046,60.896597,2.133449,64.847104,62.363330,2.483773,2.0e-03,4.3
4,57.920064,54.759200,3.160864,59.647189,55.100060,4.547129,2.0e-03,4.4
5,53.175505,49.187241,3.988263,54.297262,49.048736,5.248527,2.0e-03,4.3
6,50.110645,45.673067,4.437577,51.107179,45.747386,5.359794,2.0e-03,4.4
7,47.686294,42.971234,4.715060,50.684208,45.281069,5.403139,2.0e-03,4.3
8,46.313938,41.423942,4.889996,47.044158,41.525298,5.518860,2.0e-03,4.3
9,43.842896,38.894931,4.947964,147.904370,126.444253,21.460117,2.0e-03,4.4
10,52.294076,47.162972,5.131105,49.293356,43.664381,5.628975,2.0e-03,4.4
11,44.497978,39.372782,5.125196,47.637127,42.050832,5.586295,2.0e-03,4.3
12,43.474042,38.163895,5.310147,44.956612,38.625904,6.330708,2.0e-03,4.3
13,41.336245,36.051657,5.284587,40.789891,35.915775,4.874116,2.0e-03,4.3
14,40.000258,34.750723,5.249535,42.121000,35.993445,6.127555,2.0e-03,4.2
15,38.983469,33.708352,5.275117,40.625465,35.163065,5.462400,2.0e-03,4.3
16,39.122000,33.802782,5.319218,40.646503,34.319938,6.326565,2.0e-03,5.1
17,38.073182,32.855176,5.218006,38.244872,32.875794,5.369078,2.0e-03,4.8
18,36.774901,31.632795,5.142106,37.496659,32.419954,5.076705,2.0e-03,4.7
19,36.140930,31.084954,5.055975,36.662257,31.513175,5.149082,2.0e-03,4.8
20,35.447539,30.371261,5.076278,37.777615,32.451285,5.326331,2.0e-03,4.5
21,34.724158,29.769213,4.954945,34.671241,29.814206,4.857035,1.9e-03,4.7
22,34.352795,29.335824,5.016971,35.807849,30.421454,5.386394,1.9e-03,4.6
23,33.997917,29.027141,4.970776,36.338412,31.178130,5.160281,1.9e-03,4.7
24,34.429844,29.416212,5.013632,35.347116,29.988375,5.358741,1.9e-03,4.7
25,33.058355,28.100687,4.957668,35.876401,30.486974,5.389427,1.9e-03,4.7
26,32.820934,27.969549,4.851385,32.440113,27.675155,4.764958,1.9e-03,4.7
27,32.090188,27.263682,4.826506,33.096091,27.501617,5.594474,1.9e-03,4.6
28,32.023349,27.253975,4.769374,34.054250,28.264879,5.789371,1.9e-03,4.7
29,31.847523,27.073605,4.773918,34.291396,30.078014,4.213382,1.9e-03,4.6
30,33.129455,28.233380,4.896075,31.951871,27.070431,4.881439,1.9e-03,4.7
31,31.566038,26.796623,4.769415,32.445792,27.667576,4.778216,1.9e-03,4.9
32,30.969802,26.261594,4.708209,30.471128,26.375429,4.095699,1.9e-03,5.0
33,30.479376,25.869578,4.609798,30.900502,26.077623,4.822880,1.9e-03,4.8
34,30.314644,25.699405,4.615239,29.385820,25.137457,4.248363,1.9e-03,4.8
35,29.967433,25.343605,4.623828,30.031403,25.147190,4.884213,1.9e-03,4.8
36,29.325992,24.791593,4.534399,30.831545,25.466612,5.364933,1.8e-03,4.9
37,29.563913,24.989138,4.574774,29.805278,25.179875,4.625403,1.8e-03,4.5
