epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
1,8.476914,6.586454,0.0029,0.0000,0.0000,0.0000,1.8905,7.622153,6.424974,0.0069,0.0000,0.0000,0.0000,1.1972,-0.8548,8.3e-04,281.0
2,6.992053,5.300224,0.0425,0.0862,0.0012,0.0024,1.6918,4.999176,4.185945,0.1048,0.0000,0.0000,0.0000,0.8132,-1.9929,1.6e-03,180.8
3,4.720998,4.109331,0.1049,0.1898,0.0015,0.0030,0.6117,4.039113,3.629556,0.1470,0.0000,0.0000,0.0000,0.4096,-0.6819,2.4e-03,180.8
4,4.021133,3.664413,0.1378,0.5360,0.0394,0.0734,0.3567,3.633761,3.343812,0.1730,0.2998,0.1527,0.2023,0.2899,-0.3874,3.2e-03,180.5
5,3.760277,3.474590,0.1555,0.5815,0.1459,0.2332,0.2857,3.510057,3.252446,0.1842,0.4316,0.1385,0.2097,0.2576,-0.2502,4.0e-03,181.0
6,3.659829,3.395592,0.1643,0.6271,0.2354,0.3423,0.2642,3.393405,3.160575,0.1949,0.5219,0.1800,0.2677,0.2328,-0.2664,4.0e-03,180.5
7,3.537769,3.292717,0.1763,0.6909,0.3720,0.4836,0.2451,3.328671,3.095841,0.2032,0.5233,0.4707,0.4956,0.2328,-0.2091,4.0e-03,180.6
8,3.475855,3.232440,0.1835,0.7417,0.4800,0.5828,0.2434,3.275423,3.048095,0.2093,0.4903,0.5698,0.5271,0.2273,-0.2004,4.0e-03,181.1
9,3.415687,3.187073,0.1894,0.7655,0.5268,0.6241,0.2286,3.230504,3.012453,0.2152,0.6846,0.4088,0.5119,0.2181,-0.1852,4.0e-03,180.6
10,3.374475,3.150267,0.1941,0.7866,0.5786,0.6667,0.2242,3.199930,2.986285,0.2184,0.6215,0.5341,0.5745,0.2136,-0.1745,4.0e-03,180.7
11,3.331944,3.119029,0.1982,0.7940,0.6005,0.6838,0.2129,3.165796,2.961839,0.2221,0.6393,0.6068,0.6226,0.2040,-0.1661,4.0e-03,181.2
12,3.308951,3.094385,0.2013,0.8044,0.6146,0.6968,0.2146,3.151001,2.939307,0.2248,0.4713,0.7302,0.5729,0.2117,-0.1580,4.0e-03,180.8
13,3.282451,3.066834,0.2052,0.8082,0.6453,0.7176,0.2156,3.132374,2.923904,0.2278,0.6547,0.6039,0.6283,0.2085,-0.1501,4.0e-03,180.5
14,3.261064,3.047259,0.2077,0.8200,0.6626,0.7329,0.2138,3.102134,2.897583,0.2311,0.5681,0.7307,0.6392,0.2046,-0.1589,4.0e-03,181.0
15,3.240753,3.028757,0.2102,0.8283,0.6743,0.7434,0.2120,3.103242,2.895885,0.2322,0.7050,0.6039,0.6506,0.2074,-0.1375,4.0e-03,180.4
16,3.215040,3.009731,0.2130,0.8312,0.6834,0.7501,0.2053,3.066453,2.873170,0.2353,0.5757,0.7454,0.6497,0.1933,-0.1486,4.0e-03,180.3
17,3.190885,2.993736,0.2152,0.8408,0.6984,0.7630,0.1971,3.044279,2.859247,0.2367,0.6688,0.7102,0.6889,0.1850,-0.1466,4.0e-03,181.0
18,3.166403,2.977982,0.2174,0.8423,0.7052,0.7677,0.1884,3.033843,2.854836,0.2376,0.6465,0.7361,0.6884,0.1790,-0.1326,4.0e-03,180.3
19,3.153331,2.966138,0.2190,0.8483,0.7218,0.7799,0.1872,3.030632,2.844745,0.2392,0.6972,0.6751,0.6860,0.1859,-0.1227,4.0e-03,181.3
20,3.139940,2.953468,0.2208,0.8521,0.7292,0.7859,0.1865,3.034875,2.849027,0.2399,0.7134,0.6980,0.7056,0.1858,-0.1051,3.9e-03,180.3
21,3.130559,2.944131,0.2222,0.8556,0.7329,0.7896,0.1864,3.021600,2.834393,0.2418,0.5541,0.8244,0.6627,0.1872,-0.1090,3.9e-03,180.2
22,3.117175,2.931196,0.2241,0.8564,0.7403,0.7941,0.1860,3.008780,2.821997,0.2428,0.6448,0.7527,0.6946,0.1868,-0.1084,3.9e-03,180.8
23,3.108311,2.922760,0.2256,0.8562,0.7448,0.7966,0.1856,3.005317,2.819672,0.2435,0.7389,0.6722,0.7040,0.1856,-0.1030,3.9e-03,180.1
24,3.100090,2.914909,0.2267,0.8598,0.7499,0.8011,0.1852,2.995332,2.816941,0.2446,0.7082,0.7102,0.7092,0.1784,-0.1048,3.9e-03,179.9
25,3.083160,2.905440,0.2279,0.8636,0.7553,0.8058,0.1777,2.988861,2.812392,0.2452,0.6639,0.7727,0.7142,0.1765,-0.0943,3.9e-03,180.3
26,3.074392,2.897601,0.2291,0.8643,0.7572,0.8072,0.1768,2.984193,2.809438,0.2444,0.6833,0.7400,0.7105,0.1748,-0.0902,3.9e-03,179.7
27,3.064888,2.889054,0.2305,0.8594,0.7535,0.8030,0.1758,2.992492,2.811036,0.2464,0.5878,0.8395,0.6914,0.1815,-0.0724,3.9e-03,179.7
28,3.058372,2.882511,0.2313,0.8641,0.7586,0.8079,0.1759,2.997410,2.815499,0.2451,0.7659,0.6639,0.7113,0.1819,-0.0610,3.9e-03,180.1
29,3.051403,2.875809,0.2323,0.8684,0.7681,0.8152,0.1756,2.977699,2.802871,0.2473,0.7216,0.7434,0.7323,0.1748,-0.0737,3.9e-03,179.6
